付款客户,K&S订单号,费率,服务地点,零件号,零件名称,备注,录入方式
江苏恒义工业技术有限公司,KS-WH-HYI-239270,39,,,,39+15+0,
广州祥鑫,KS-WH-XXI-239271,39,,,,,
江安聚造科技有限公司,,39,,,,,
惠州科达利精密工业有限公司,KS-WH-KDL-239443,39,,,,,
深圳飞荣达,KS-WH-FRD-239269,38,,,,,
烟台丛林精密机械有限公司,KS-WH-CLI-239308,39,,,,,
宜宾凯利能源科技有限公司,,39,,,,,
成都领韬新能源科技有限公司,KS-WH-LTO-239268,39,,,,,
昆山长盈精密技术有限公司,,36,,,,,
四川科达利精密工业有限公司,KS-WH-KDL-239263,35,,,顶盖,,1
广东领益,KS-WH-LSH-239267,35,,,,,
江西天铭新能源汽车配件有限公司,KS-WH-TMI-239275,39,,,,,
深圳天合星,,39,,,,,
东莞达瑞,KS-WH-DAR-239277,39,,,,,
上海科特新材料股份有限公司,KS-WH-KET-239478,40,,,,40+20+0,
福建佳鑫金属科技有限公司,,39,,,,,
东莞硅翔有限公司,KS-WH-KXI-239497,39,,,,月底统一发,
河南爱彼爱和新材料有限公司,KS-WH-ABA-239597,39,,,,39+20+0,
福建守信新材料科技有限公司,KS-WH-SXI-239259,39,,,,,
飞荣达(润星泰),KS-WH-RXT-239279,39,,,,,
溧阳纵贯线,,39,,,,,
厦门力富电子有限公司,KS-WH-LFU-239272,39,,,,,
上海日泰汽车零部件销售有限公司,,39,,,,,
浙江荣泰电工器材股份有限公司,KS-WH-ROT-239441,39,,,,,
厦门宏发电力电器有限公司,,39,,,,,
苏州宝优际科技股份有限公司,KS-WH-BYJ-239388,39,,,,,
华北铝业,,39,,,,,
东莞蒲微,KS-WH-PUW-239644,39,,,,,
宜宾祥鑫,KS-WH-XXI-239260,39,,,,,
安博,KS-WH-ABX-239611,39,,,,,
广州祥鑫,KS-WH-XXI-239395,39,钢猫,,,,
深圳市富程威科技股份有限公司,KS-WH-FCW-239310,39,,,,,
福建腾博新材料科技有限公司,KS-WH-TBO-239273,39,,,,,
重庆平伟汽车科技股份有限公司,KS-WH-LWE-239115,39,,,,,
烟台德邦科技股份有限公司,KS-WH-DEB-239447,45,,,,,
宣城立讯,KS-WH-LIX-239302,39,,,,,
浙江锦泰电子有限公司,KS-WH-JTA-239095,35,,,铝,,
安费诺（常州）连接系统有限公司,,39,,,,,
